Bairro,Zona,Cidade,UF
Água Branca,Oeste,São Paulo,SP
Água Fria,Norte,São Paulo,SP
Água Funda,Sul,São Paulo,SP
Água Rasa,Leste,São Paulo,SP
Aclimação,Sul,São Paulo,SP
Alto da Boa Vista,Sul,São Paulo,SP
Alto da Lapa,Oeste,São Paulo,SP
Alto da Mooca,Leste,São Paulo,SP
Alto da Riviera,Sul,São Paulo,SP
Alto de Pinheiros,Oeste,São Paulo,SP
Alto do Pari,Centro,São Paulo,SP
Altos de Vila Prudente,Leste,São Paulo,SP
Americanópolis,Sul,São Paulo,SP
Anhanguera,Norte,São Paulo,SP
Artur Alvim,Leste,São Paulo,SP
Associação Sobradinho,Norte,São Paulo,SP
Balneário Dom Carlos,Sul,São Paulo,SP
Balneário Mar Paulista,Sul,São Paulo,SP
Balneário São Francisco,Sul,São Paulo,SP
Balneário São José,Sul,São Paulo,SP
Barra Funda,Oeste,São Paulo,SP
Barragem,Norte,São Paulo,SP
Barro Branco (Zona Norte),Norte,São Paulo,SP
Bela Aliança,Oeste,São Paulo,SP
Bela Vista,Centro,São Paulo,SP
Belenzinho,Leste,São Paulo,SP
Boaçava,Oeste,São Paulo,SP
Bom Retiro,Centro,São Paulo,SP
Bororé,Sul,São Paulo,SP
Bortolândia,Norte,São Paulo,SP
Bosque da Saúde,Sul,São Paulo,SP
Brás,Leste,São Paulo,SP
Brasilândia,Norte,São Paulo,SP
Brooklin Novo,Sul,São Paulo,SP
Brooklin Paulista,Sul,São Paulo,SP
Burgo Paulista,Leste,São Paulo,SP
Butantã,Oeste,São Paulo,SP
Cachoeirinha,Norte,São Paulo,SP
Cambuci,Sul,São Paulo,SP
Campininha,Sul,São Paulo,SP
Campo Belo,Sul,São Paulo,SP
Campo Grande,Sul,São Paulo,SP
Campo Limpo,Sul,São Paulo,SP
Campos Elíseos,Centro,São Paulo,SP
Cangaíba,Leste,São Paulo,SP
Canindé,Centro,São Paulo,SP
Cantinho do Céu,Sul,São Paulo,SP
Capão do Embira,Sul,São Paulo,SP
Capão Redondo,Sul,São Paulo,SP
Capela do Socorro,Sul,São Paulo,SP
Carandiru,Norte,São Paulo,SP
Casa Verde,Norte,São Paulo,SP
Casa Verde Alta,Norte,São Paulo,SP
Casa Verde Baixa,Norte,São Paulo,SP
Casa Verde Média,Norte,São Paulo,SP
Catumbi,Sul,São Paulo,SP
Caxingui,Oeste,São Paulo,SP
Centro,Centro,São Paulo,SP
Cerqueira César,Oeste,São Paulo,SP
Chácara Bandeirantes,Sul,São Paulo,SP
Chácara Belenzinho,Leste,São Paulo,SP
Chácara Bosque do Sol,Norte,São Paulo,SP
Chácara Califórnia,Leste,São Paulo,SP
Chácara Cocaia,Sul,São Paulo,SP
Chácara Cruzeiro do Sul,Sul,São Paulo,SP
Chácara da Enseada,Sul,São Paulo,SP
Chácara das Corujas,Oeste,São Paulo,SP
Chácara do Conde,Sul,São Paulo,SP
Chácara do Sol,Norte,São Paulo,SP
Chácara Dona Olívia,Sul,São Paulo,SP
Chácara Figueira Grande,Leste,São Paulo,SP
Chácara Flórida,Sul,São Paulo,SP
Chácara Flora,Sul,São Paulo,SP
Chácara Gaivotas,Sul,São Paulo,SP
Chácara Inglesa,Sul,São Paulo,SP
Chácara Itaim,Leste,São Paulo,SP
Chácara Japonesa,Norte,São Paulo,SP
Chácara Jaguará,Oeste,São Paulo,SP
Chácara Mafalda,Sul,São Paulo,SP
Chácara Maria Trindade,Oeste,São Paulo,SP
Chácara Meyer,Norte,São Paulo,SP
Chácara Monte Alegre,Sul,São Paulo,SP
Chácara Morro Alto,Oeste,São Paulo,SP
Chácara Nani,Sul,São Paulo,SP
Chácara Nossa Senhora Aparecida,Leste,São Paulo,SP
Chácara Nossa Senhora do Bom Conselho,Sul,São Paulo,SP
Chácara São João,Sul,São Paulo,SP
Chácara São Silvestre,Sul,São Paulo,SP
Chácara Santa Etelvina,Leste,São Paulo,SP
Chácara Santa Maria,Sul,São Paulo,SP
Chácara Santana,Norte,São Paulo,SP
Chácara Santo Amaro,Sul,São Paulo,SP
Chácara Santo Antônio (Zona Leste),Leste,São Paulo,SP
Chácara Santo Antônio (Zona Sul),Sul,São Paulo,SP
Chácara Santo Hubertus,Oeste,São Paulo,SP
Chácara Seis de Outubro,Leste,São Paulo,SP
Chácara Sonho Azul,Norte,São Paulo,SP
Chácara Tatuapé,Leste,São Paulo,SP
Chácara Três Meninas,Sul,São Paulo,SP
Chácara Vista Alegre,Norte,São Paulo,SP
Chora Menino,Norte,São Paulo,SP
Cidade Ademar,Sul,São Paulo,SP
Cidade Antônio Estevão de Carvalho,Leste,São Paulo,SP
Cidade Auxiliadora,Norte,São Paulo,SP
Cidade Centenário,Sul,São Paulo,SP
Cidade Continental,Norte,São Paulo,SP
Cidade D'Abril,Oeste,São Paulo,SP
Cidade de Deus,Oeste,São Paulo,SP
Cidade Domitila,Sul,São Paulo,SP
Cidade dos Bandeirantes,Sul,São Paulo,SP
Cidade Dutra,Sul,São Paulo,SP
Cidade Ipava,Oeste,São Paulo,SP
Cidade Júlia,Sul,São Paulo,SP
Cidade Jardim,Oeste,São Paulo,SP
Cidade Kemel,Oeste,São Paulo,SP
Cidade Líder,Leste,São Paulo,SP
Cidade Luz,Centro,São Paulo,SP
Cidade Mãe do Céu,Norte,São Paulo,SP
Cidade Monções,Sul,São Paulo,SP
Cidade Nitro Operária,Norte,São Paulo,SP
Cidade Nitro Química,Norte,São Paulo,SP
Cidade Nova América,Leste,São Paulo,SP
Cidade Nova Heliópolis,Leste,São Paulo,SP
Cidade Nova São Miguel,Leste,São Paulo,SP
Cidade Patriarca,Leste,São Paulo,SP
Cidade Popular,Norte,São Paulo,SP
Cidade São Francisco,Oeste,São Paulo,SP
Cidade São Mateus,Leste,São Paulo,SP
Cidade São Miguel,Leste,São Paulo,SP
Cidade Satélite Santa Bárbara,Leste,São Paulo,SP
Cidade Tiradentes,Leste,São Paulo,SP
Cidade Vargas,Sul,São Paulo,SP
Cipó do Meio,Sul,São Paulo,SP
City América,Oeste,São Paulo,SP
Cohab Monet,Norte,São Paulo,SP
Colônia (Zona Leste),Leste,São Paulo,SP
Colônia (Zona Sul),Sul,São Paulo,SP
Condomínio Jequirituba,Sul,São Paulo,SP
Conjunto City Jaguará,Oeste,São Paulo,SP
Conjunto dos Bancários,Norte,São Paulo,SP
Conjunto Habitacional A E Carvalho,Leste,São Paulo,SP
Conjunto Habitacional Águia de Haia,Leste,São Paulo,SP
Conjunto Habitacional Barreira Grande,Norte,São Paulo,SP
Conjunto Habitacional Barro Branco I,Norte,São Paulo,SP
Conjunto Habitacional Barro Branco II,Norte,São Paulo,SP
